group,value
LowIQ (band=alpha),5.496714153011233
LowIQ (band=alpha),4.861735698828816
LowIQ (band=alpha),5.6476885381006925
LowIQ (band=alpha),6.523029856408026
LowIQ (band=alpha),4.765846625276664
LowIQ (band=alpha),4.765863043050819
LowIQ (band=alpha),6.5792128155073915
LowIQ (band=alpha),5.7674347291529084
LowIQ (band=alpha),4.530525614065048
LowIQ (band=alpha),5.542560043585965
LowIQ (band=alpha),4.536582307187538
LowIQ (band=alpha),4.5342702464297435
LowIQ (band=alpha),5.241962271566035
LowIQ (band=alpha),3.086719755342202
LowIQ (band=alpha),3.2750821674869672
LowIQ (band=alpha),4.437712470759028
LowIQ (band=alpha),3.9871688796655764
LowIQ (band=alpha),5.314247332595274
LowIQ (band=alpha),4.091975924478789
LowIQ (band=alpha),3.5876962986647083
LowIQ (band=alpha),6.465648768921554
LowIQ (band=alpha),4.774223699513464
LowIQ (band=alpha),5.067528204687924
LowIQ (band=alpha),3.575251813786543
LowIQ (band=alpha),4.455617275474817
LowIQ (band=alpha),5.110922589709866
LowIQ (band=alpha),3.8490064225776974
LowIQ (band=alpha),5.3756980183456715
LowIQ (band=alpha),4.399361310081195
LowIQ (band=alpha),4.708306250206723
LowIQ (band=alpha),4.398293387770603
LowIQ (band=alpha),6.852278184508938
LowIQ (band=alpha),4.986502775262066
LowIQ (band=alpha),3.9422890710441
LowIQ (band=alpha),5.822544912103189
LowIQ (band=alpha),3.7791563500289778
LowIQ (band=alpha),5.208863595004756
LowIQ (band=alpha),3.040329876120224
LowIQ (band=alpha),3.6718139511015693
LowIQ (band=alpha),5.1968612358691235
LowIQ (band=alpha),5.738466579995411
LowIQ (band=alpha),5.17136828118997
LowIQ (band=alpha),4.88435171761176
LowIQ (band=alpha),4.698896304410711
LowIQ (band=alpha),3.5214780096325726
LowIQ (band=alpha),4.280155791605291
LowIQ (band=alpha),4.539361229040212
LowIQ (band=alpha),6.057122226218915
LowIQ (band=alpha),5.343618289568461
LowIQ (band=alpha),3.236959844637266
LowIQ (band=alpha),5.3240839693947954
LowIQ (band=alpha),4.6149177195836835
LowIQ (band=alpha),4.323077999694041
LowIQ (band=alpha),5.611676288840868
LowIQ (band=alpha),6.030999522495951
LowIQ (band=alpha),5.931280119116199
LowIQ (band=alpha),4.160782476777362
LowIQ (band=alpha),4.690787624148785
LowIQ (band=alpha),5.331263431403564
LowIQ (band=alpha),5.975545127122359
LowIQ (band=alpha),4.52082576215471
LowIQ (band=alpha),4.8143410233361825
LowIQ (band=alpha),3.893665025993972
LowIQ (band=alpha),3.803793375919329
LowIQ (band=alpha),5.812525822394198
LowIQ (band=alpha),6.356240028570823
LowIQ (band=alpha),4.927989878419666
LowIQ (band=alpha),6.003532897892024
LowIQ (band=alpha),5.361636025047634
LowIQ (band=alpha),4.354880245394876
LowIQ (band=alpha),5.361395605508414
LowIQ (band=alpha),6.538036566465969
LowIQ (band=alpha),4.964173960890048
LowIQ (band=alpha),6.564643655814006
LowIQ (band=alpha),2.3802548959102556
LowIQ (band=alpha),5.821902504375224
LowIQ (band=alpha),5.087047068238172
LowIQ (band=alpha),4.7009926495341325
LowIQ (band=alpha),5.091760776535502
LowIQ (band=alpha),3.012431085399107
LowIQ (band=alpha),4.780328112162488
LowIQ (band=alpha),5.357112571511746
LowIQ (band=alpha),6.477894044741516
LowIQ (band=alpha),4.481729781726353
LowIQ (band=alpha),4.191506397106813
LowIQ (band=alpha),4.498242956415464
LowIQ (band=alpha),5.915402117702074
LowIQ (band=alpha),5.3287511096596845
LowIQ (band=alpha),4.470239796232962
LowIQ (band=alpha),5.513267433113356
LowIQ (band=alpha),5.0970775493480405
LowIQ (band=alpha),5.968644990532889
LowIQ (band=alpha),4.297946906122648
LowIQ (band=alpha),4.672337853402232
LowIQ (band=alpha),4.607891846867842
LowIQ (band=alpha),3.5364850518678814
LowIQ (band=alpha),5.296120277064576
LowIQ (band=alpha),5.261055272179889
LowIQ (band=alpha),5.005113456642461
LowIQ (band=alpha),4.765412866624852
HighIQ (band=alpha),2.4615731448739644
HighIQ (band=alpha),4.9483866930866025
HighIQ (band=alpha),5.143213708683076
HighIQ (band=alpha),3.9943068269459525
HighIQ (band=alpha),5.596785720834977
HighIQ (band=alpha),7.010127142036346
HighIQ (band=alpha),10.715464753026325
HighIQ (band=alpha),6.436444532079597
HighIQ (band=alpha),6.6438759768069096
HighIQ (band=alpha),5.813885210584583
HighIQ (band=alpha),1.2030719617523964
HighIQ (band=alpha),5.933715311376957
HighIQ (band=alpha),6.150575524852566
HighIQ (band=alpha),12.158105281213215
HighIQ (band=alpha),5.5190975880471935
HighIQ (band=alpha),6.753868355834031
HighIQ (band=alpha),5.913220575736892
HighIQ (band=alpha),3.07830490595117
HighIQ (band=alpha),8.857057036287552
HighIQ (band=alpha),7.8798325817169355
HighIQ (band=alpha),7.977579867607617
HighIQ (band=alpha),3.7265313630131525
HighIQ (band=alpha),9.506985777340248
HighIQ (band=alpha),2.495372343019298
HighIQ (band=alpha),7.467142734500675
HighIQ (band=alpha),11.476139064524947
HighIQ (band=alpha),3.523659187173279
HighIQ (band=alpha),4.58425567599307
HighIQ (band=alpha),6.249128412719103
HighIQ (band=alpha),4.741310864709502
HighIQ (band=alpha),2.1233414223346685
HighIQ (band=alpha),6.171407437015068
HighIQ (band=alpha),3.344240715684738
HighIQ (band=alpha),7.183981076587954
HighIQ (band=alpha),3.7014394144154914
HighIQ (band=alpha),9.874836012543849
HighIQ (band=alpha),4.041866769159407
HighIQ (band=alpha),5.194846209485811
HighIQ (band=alpha),8.033793043424174
HighIQ (band=alpha),2.922839208915112
HighIQ (band=alpha),6.568649836510324
HighIQ (band=alpha),9.26785688570607
HighIQ (band=alpha),1.9812919135969311
HighIQ (band=alpha),6.461584646330761
HighIQ (band=alpha),6.649706985621059
HighIQ (band=alpha),7.954557179443275
HighIQ (band=alpha),2.907623222804795
HighIQ (band=alpha),2.698858467289309
HighIQ (band=alpha),7.304853914042244
HighIQ (band=alpha),6.742461683082965
HighIQ (band=alpha),6.626232125864692
HighIQ (band=alpha),6.86612052374244
HighIQ (band=alpha),4.299938196053773
HighIQ (band=alpha),6.580634242902509
HighIQ (band=alpha),6.7326811832467035
HighIQ (band=alpha),4.21412145493408
HighIQ (band=alpha),10.664436277861892
HighIQ (band=alpha),7.184582302279469
HighIQ (band=alpha),3.0217412569933786
HighIQ (band=alpha),7.6413840215845745
HighIQ (band=alpha),3.5632958244316963
HighIQ (band=alpha),7.96771150935613
HighIQ (band=alpha),8.89648894751851
HighIQ (band=alpha),3.9482942041207236
HighIQ (band=alpha),8.408440323110804
HighIQ (band=alpha),7.031952317341246
HighIQ (band=alpha),8.055150399986225
HighIQ (band=alpha),10.741982456634869
HighIQ (band=alpha),5.386529709992824
HighIQ (band=alpha),4.115659589106276
HighIQ (band=alpha),3.776213925936192
HighIQ (band=alpha),3.960474287586404
HighIQ (band=alpha),5.80724572646474
HighIQ (band=alpha),6.8528799370416085
HighIQ (band=alpha),6.691726998325048
HighIQ (band=alpha),8.06795812259006
HighIQ (band=alpha),6.032504729694767
HighIQ (band=alpha),9.633835192893292
HighIQ (band=alpha),5.338357916905109
HighIQ (band=alpha),12.800422916474048
HighIQ (band=alpha),7.564168369412515
HighIQ (band=alpha),3.8571061089592935
HighIQ (band=alpha),3.3227687548472193
HighIQ (band=alpha),7.206181038107963
HighIQ (band=alpha),5.441343036685373
HighIQ (band=alpha),7.785001235230229
HighIQ (band=alpha),7.183094061433862
HighIQ (band=alpha),5.817927718357818
HighIQ (band=alpha),3.8830157048289875
HighIQ (band=alpha),2.2128819382853386
HighIQ (band=alpha),4.883712619832448
HighIQ (band=alpha),8.14099698580868
HighIQ (band=alpha),6.53523436032551
HighIQ (band=alpha),2.8856530532200297
HighIQ (band=alpha),6.432952314627955
HighIQ (band=alpha),6.963293449322092
HighIQ (band=alpha),3.7903564094971673
HighIQ (band=alpha),6.38431276486382
HighIQ (band=alpha),6.145521796115
HighIQ (band=alpha),3.142574255423442
